[20/07/2023 20:03:35 - INFO] Discord Presence activated
[20/07/2023 20:03:35 - INFO] Creating discord-rpc client
[20/07/2023 20:03:36 - INFO] Successfully connected to Discord
[20/07/2023 20:03:36 - DEBUG] Loading git extension
[20/07/2023 20:03:45 - TRACE] VSCode language id: html
[20/07/2023 20:04:00 - TRACE] VSCode language id: html
[20/07/2023 20:04:02 - TRACE] VSCode language id: html
[20/07/2023 20:04:30 - TRACE] VSCode language id: css
[20/07/2023 20:04:35 - TRACE] VSCode language id: css
[20/07/2023 20:04:37 - TRACE] VSCode language id: html
[20/07/2023 20:04:37 - TRACE] VSCode language id: html
[20/07/2023 20:04:39 - TRACE] VSCode language id: html
[20/07/2023 20:08:01 - TRACE] VSCode language id: html
[20/07/2023 20:08:03 - TRACE] VSCode language id: html
[20/07/2023 20:08:03 - TRACE] VSCode language id: css
[20/07/2023 20:08:14 - TRACE] VSCode language id: css
[20/07/2023 20:08:16 - TRACE] VSCode language id: css
[20/07/2023 20:08:46 - TRACE] VSCode language id: html
[20/07/2023 20:08:55 - TRACE] VSCode language id: html
[20/07/2023 20:08:57 - TRACE] VSCode language id: html
[20/07/2023 20:09:00 - TRACE] VSCode language id: html
[20/07/2023 20:09:02 - TRACE] VSCode language id: html
[20/07/2023 20:09:04 - TRACE] VSCode language id: html
[20/07/2023 20:09:10 - TRACE] VSCode language id: html
[20/07/2023 20:09:12 - TRACE] VSCode language id: html
[20/07/2023 20:11:40 - TRACE] VSCode language id: html
[20/07/2023 20:11:42 - TRACE] VSCode language id: html
[20/07/2023 20:11:47 - TRACE] VSCode language id: css
[20/07/2023 20:11:49 - TRACE] VSCode language id: css
[20/07/2023 20:11:51 - TRACE] VSCode language id: css
[20/07/2023 20:14:22 - TRACE] VSCode language id: html
[20/07/2023 20:14:45 - TRACE] VSCode language id: html
[20/07/2023 20:14:47 - TRACE] VSCode language id: html
[20/07/2023 20:14:52 - TRACE] VSCode language id: html
[20/07/2023 20:14:57 - TRACE] VSCode language id: html
[20/07/2023 20:14:59 - TRACE] VSCode language id: html
[20/07/2023 20:15:02 - TRACE] VSCode language id: html
[20/07/2023 20:15:07 - TRACE] VSCode language id: html
[20/07/2023 20:15:11 - TRACE] VSCode language id: html
[20/07/2023 20:15:13 - TRACE] VSCode language id: html
[20/07/2023 20:15:16 - TRACE] VSCode language id: html
[20/07/2023 20:19:46 - TRACE] VSCode language id: html
[20/07/2023 20:19:48 - TRACE] VSCode language id: html
[20/07/2023 20:19:50 - TRACE] VSCode language id: html
[20/07/2023 20:19:52 - TRACE] VSCode language id: html
[20/07/2023 20:20:21 - TRACE] VSCode language id: html
[20/07/2023 20:20:23 - TRACE] VSCode language id: html
[20/07/2023 20:20:25 - TRACE] VSCode language id: html
[20/07/2023 20:20:29 - TRACE] VSCode language id: html
[20/07/2023 20:20:31 - TRACE] VSCode language id: html
[20/07/2023 20:20:33 - TRACE] VSCode language id: html
[20/07/2023 20:20:35 - TRACE] VSCode language id: html
[20/07/2023 20:20:37 - TRACE] VSCode language id: html
[20/07/2023 20:20:42 - TRACE] VSCode language id: html
[20/07/2023 20:20:44 - TRACE] VSCode language id: html
[20/07/2023 20:20:51 - TRACE] VSCode language id: html
[20/07/2023 20:20:53 - TRACE] VSCode language id: html
[20/07/2023 20:21:02 - TRACE] VSCode language id: html
[20/07/2023 20:21:04 - TRACE] VSCode language id: html
[20/07/2023 20:21:20 - TRACE] VSCode language id: html
[20/07/2023 20:21:22 - TRACE] VSCode language id: html
[20/07/2023 20:21:28 - TRACE] VSCode language id: html
[20/07/2023 20:21:30 - TRACE] VSCode language id: html
[20/07/2023 20:23:27 - TRACE] VSCode language id: html
[20/07/2023 20:23:29 - TRACE] VSCode language id: html
[20/07/2023 20:23:32 - TRACE] VSCode language id: html
[20/07/2023 20:23:33 - TRACE] VSCode language id: html
[20/07/2023 20:23:35 - TRACE] VSCode language id: html
[20/07/2023 20:23:37 - TRACE] VSCode language id: html
[20/07/2023 20:24:21 - TRACE] VSCode language id: html
[20/07/2023 20:24:23 - TRACE] VSCode language id: html
[20/07/2023 20:25:23 - TRACE] VSCode language id: html
[20/07/2023 20:25:25 - TRACE] VSCode language id: html
[20/07/2023 20:25:27 - TRACE] VSCode language id: html
[20/07/2023 20:25:29 - TRACE] VSCode language id: html
[20/07/2023 20:25:33 - TRACE] VSCode language id: html
[20/07/2023 20:25:35 - TRACE] VSCode language id: html
[20/07/2023 20:25:36 - TRACE] VSCode language id: html
[20/07/2023 20:25:38 - TRACE] VSCode language id: html
[20/07/2023 20:25:40 - TRACE] VSCode language id: html
[20/07/2023 20:25:42 - TRACE] VSCode language id: html
[20/07/2023 20:25:51 - TRACE] VSCode language id: html
[20/07/2023 20:25:53 - TRACE] VSCode language id: html
[20/07/2023 20:25:56 - TRACE] VSCode language id: html
[20/07/2023 20:25:58 - TRACE] VSCode language id: html
[20/07/2023 20:26:00 - TRACE] VSCode language id: html
[20/07/2023 20:26:02 - TRACE] VSCode language id: html
[20/07/2023 20:26:05 - TRACE] VSCode language id: html
[20/07/2023 20:26:07 - TRACE] VSCode language id: html
[20/07/2023 20:27:51 - TRACE] VSCode language id: html
[20/07/2023 20:27:53 - TRACE] VSCode language id: html
[20/07/2023 20:27:55 - TRACE] VSCode language id: html
[20/07/2023 20:27:58 - TRACE] VSCode language id: html
[20/07/2023 20:28:00 - TRACE] VSCode language id: html
[20/07/2023 20:28:02 - TRACE] VSCode language id: html
[20/07/2023 20:30:55 - TRACE] VSCode language id: html
[20/07/2023 20:30:57 - TRACE] VSCode language id: html
[20/07/2023 20:30:59 - TRACE] VSCode language id: html
[20/07/2023 20:31:01 - TRACE] VSCode language id: html
[20/07/2023 20:31:03 - TRACE] VSCode language id: html
[20/07/2023 20:31:05 - TRACE] VSCode language id: html
[20/07/2023 20:31:08 - TRACE] VSCode language id: html
[20/07/2023 20:31:09 - TRACE] VSCode language id: html
[20/07/2023 20:31:11 - TRACE] VSCode language id: html
[20/07/2023 20:34:02 - TRACE] VSCode language id: html
[20/07/2023 20:34:04 - TRACE] VSCode language id: html
[20/07/2023 20:34:06 - TRACE] VSCode language id: html
[20/07/2023 20:34:08 - TRACE] VSCode language id: html
[20/07/2023 20:34:10 - TRACE] VSCode language id: html
[20/07/2023 20:35:07 - TRACE] VSCode language id: html
[20/07/2023 20:35:09 - TRACE] VSCode language id: html
[20/07/2023 20:35:13 - TRACE] VSCode language id: html
[20/07/2023 20:35:15 - TRACE] VSCode language id: html
[20/07/2023 20:35:18 - TRACE] VSCode language id: html
[20/07/2023 20:35:20 - TRACE] VSCode language id: html
[20/07/2023 20:35:22 - TRACE] VSCode language id: html
